TARGET,FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,pH,Sulphates,Alcohol,LabelAppeal,AcidIndex,STARS,VolatileAcidity_log1p,Chlorides_log1p
4,8.0,0.36,0.39,30.2,0.063,17.0,129.0,1.0197075,3.2,0.575,16.6,0,9.0,2.0,0.3074846997479606,0.061095099359810875
3,7.4,0.36,0.06,30.2,0.063,43.0,39.0,0.99615,4.05,0.48,16.0,-1,8.0,2.0,0.3074846997479606,0.061095099359810875
4,5.7,0.25,0.27,10.8,0.05,58.0,150.0,0.9685275,3.1,0.575,9.8,0,6.0,2.0,0.22314355131420976,0.04879016416943201
0,14.149999999999999,0.34,0.49,8.7,0.063,56.0,321.0,0.99967,4.08,0.66,6.5,-1,9.5,2.0,0.29266961396282004,0.061095099359810875
0,7.2,0.36,0.39,16.2,0.048,44.0,147.0,0.9972,3.3,0.52,4.45,0,6.0,2.0,0.3074846997479606,0.04688358589885042
3,7.9,0.38,0.9999999999999999,8.7,0.063,21.0,138.0,0.99796,3.52,0.575,15.9,0,9.0,2.0,0.32208349916911333,0.061095099359810875
4,7.9,0.36,0.39,30.2,0.248,113.5,318.0,0.99904,3.05,0.575,9.8,1,8.0,2.0,0.3074846997479606,0.22154226994723591
5,14.149999999999999,1.17,0.39,1.5,0.027,43.0,150.0,0.99,3.3,0.33,12.5,0,8.0,2.0,0.7747271675523681,0.02664193094642118
0,7.2,1.035,0.39,6.0,0.073,43.0,54.0,1.0197075,3.37,0.575,9.9,1,9.5,2.0,0.7104958188945583,0.07045846364856141
4,14.149999999999999,0.36,0.49,30.2,0.055,43.0,188.0,0.99066,3.2,0.91,11.0,0,8.0,2.0,0.3074846997479606,0.05354076692802982
0,6.9,0.3,0.29,1.3,0.063,24.0,189.0,1.0197075,3.29,0.575,10.4,1,7.0,2.0,0.262364264467491,0.061095099359810875
4,3.1,1.1949999999999998,0.39,9.2,0.063,54.0,126.0,0.9893,3.04,0.575,9.7,0,8.0,2.0,0.7861820465271346,0.061095099359810875
0,3.2,0.47,0.3,30.2,0.063,43.0,135.0,0.9976,2.25,0.575,9.4,0,9.0,2.0,0.3852624007906449,0.061095099359810875
5,13.0,0.34,0.46,4.7,0.029,43.0,94.0,1.00111,2.25,1.19,16.849999999999998,1,7.0,2.0,0.29266961396282004,0.028587456851912555
5,9.3,0.14,0.39,7.9,0.063,21.0,82.0,1.0197075,3.26,0.575,13.7,1,7.0,2.0,0.1310282624064041,0.061095099359810875
1,14.149999999999999,1.1949999999999998,0.36,30.2,0.075,63.0,48.0,1.0197075,3.34,1.19,13.5,-2,9.0,2.0,0.7861820465271346,0.0723206615796261
3,5.8,0.36,0.5,8.7,0.063,63.0,178.0,1.00091,3.87,0.45,8.8,0,7.0,2.0,0.3074846997479606,0.061095099359810875
4,14.149999999999999,0.19,0.26,30.2,0.039,30.0,150.0,0.98998,3.32,0.575,12.1,0,6.0,2.0,0.173953307123438,0.03825871211709034
4,11.0,0.23,0.9999999999999999,30.2,0.035,43.0,321.0,0.9976,3.35,0.52,9.4,0,7.0,2.0,0.20701416938432612,0.034401426717332394
0,6.6,0.24,0.9999999999999999,1.4,0.063,113.5,234.0,1.0197075,3.11,0.39,9.9,-1,7.0,2.0,0.2151113796169455,0.061095099359810875
4,7.2,0.36,0.26,13.2,0.051,54.0,201.0,0.9976,3.0,1.19,10.8,1,7.0,2.0,0.3074846997479606,0.049742091894814065
4,7.5,1.1949999999999998,0.39,8.7,0.057,22.0,150.0,0.9938,2.25,1.17,4.7,1,8.0,2.0,0.7861820465271346,0.055434706888100586
0,14.149999999999999,1.1949999999999998,0.9999999999999999,1.9,0.248,15.0,100.0,0.96939,2.28,0.575,4.45,1,9.5,2.0,0.7861820465271346,0.22154226994723591
0,8.0,0.42,0.32,2.5,0.248,26.0,150.0,0.99639,3.32,1.19,15.6,0,9.0,2.0,0.35065687161316933,0.22154226994723591
4,7.1,0.28,0.64,8.7,0.248,43.0,105.0,0.9972,3.98,0.575,9.2,1,8.0,2.0,0.2468600779315258,0.22154226994723591
3,7.2,0.36,0.27,7.1,0.049,113.5,321.0,0.99579,3.16,0.38,9.4,1,8.0,2.0,0.3074846997479606,0.04783732941416013
3,7.2,0.28,0.35,2.1,0.248,43.0,203.0,0.9685275,3.26,1.19,9.2,-1,7.0,2.0,0.2468600779315258,0.22154226994723591
1,6.8,1.1949999999999998,0.04,3.5,0.248,25.0,133.0,1.0197075,3.17,0.575,10.2,-2,7.0,2.0,0.7861820465271346,0.22154226994723591
4,14.149999999999999,0.44,0.22,4.3,0.063,43.0,99.0,1.0197075,3.26,0.53,10.4,-1,7.0,2.0,0.3646431135879093,0.061095099359810875
2,14.149999999999999,0.23,0.42,8.7,0.094,49.0,169.0,0.99699,3.49,0.9,10.4,-1,7.0,2.0,0.20701416938432612,0.08984070399978947
4,6.2,0.16,0.26,8.7,0.063,113.5,220.0,0.99622,3.2,0.58,10.6,0,7.0,2.0,0.14842000511827327,0.061095099359810875
3,14.149999999999999,0.19,0.41,8.7,0.046,51.0,169.0,0.9954,3.14,1.19,9.8,-1,7.0,2.0,0.173953307123438,0.04497336564273116
0,5.8,0.36,0.9999999999999999,8.7,0.056,23.0,65.0,0.99755,4.12,0.575,9.7,-2,6.0,2.0,0.3074846997479606,0.054488185284069734
0,14.149999999999999,0.54,0.52,8.6,0.088,43.0,48.0,0.9981,2.42,0.575,4.45,1,9.0,2.0,0.43178241642553783,0.08434114843375087
4,7.0,0.36,0.39,8.7,0.063,29.0,150.0,0.99977,2.51,0.49,16.7,0,8.0,2.0,0.3074846997479606,0.061095099359810875
2,7.2,0.54,0.03,30.2,0.094,41.0,110.0,0.9982,4.0,0.8,9.2,-1,9.5,2.0,0.43178241642553783,0.08984070399978947
1,6.3,0.24,0.06,1.8,0.248,6.0,150.0,0.97646,4.17,0.575,12.2,-2,7.0,2.0,0.2151113796169455,0.22154226994723591
0,14.149999999999999,0.33,0.49,2.5,0.248,8.0,150.0,1.01598,2.62,0.82,6.3,-1,9.5,2.0,0.28517894223366236,0.22154226994723591
6,14.149999999999999,0.24,0.84,6.4,0.048,113.5,150.0,0.9944,2.46,0.55,10.5,1,7.0,2.0,0.2151113796169455,0.04688358589885042
3,7.2,0.17,0.3,30.2,0.034,33.0,125.0,0.99152,3.55,0.49,5.7,-1,7.0,2.0,0.15700374880966475,0.03343477608623739
3,7.2,0.2,0.37,8.7,0.248,113.5,321.0,0.9738,2.27,0.45,10.4,0,7.0,2.0,0.18232155679395462,0.22154226994723591
5,12.5,0.24,0.39,30.2,0.043,32.0,156.0,1.0197075,4.02,0.07,10.1,1,7.0,2.0,0.2151113796169455,0.04210117601863539
4,6.9,1.1949999999999998,0.33,8.7,0.063,43.0,158.0,0.99082,4.14,0.58,16.849999999999998,0,7.0,2.0,0.7861820465271346,0.061095099359810875
0,7.3,0.36,0.39,8.7,0.048,43.0,150.0,0.99044,4.04,0.35,12.0,-1,8.0,2.0,0.3074846997479606,0.04688358589885042
4,8.0,0.36,0.9999999999999999,13.2,0.046,26.0,113.0,0.9983,3.23,0.37,8.4,0,9.0,2.0,0.3074846997479606,0.04497336564273116
0,10.2,0.36,0.44,30.2,0.045,21.0,150.0,0.9924,2.79,0.46,8.9,2,8.0,2.0,0.3074846997479606,0.04401688541677432
2,8.1,0.36,0.39,3.3,0.096,26.0,150.0,1.00573,3.6,1.18,16.849999999999998,0,9.0,2.0,0.3074846997479606,0.0916671885258238
1,14.149999999999999,0.4,0.5,1.0,0.063,113.5,321.0,0.99013,3.66,0.42,15.4,-2,7.0,2.0,0.33647223662121295,0.061095099359810875
1,6.1,0.36,0.96,18.15,0.097,41.0,146.0,1.00278,3.3,0.575,11.5,-2,7.0,2.0,0.3074846997479606,0.0925791812930932
4,7.0,0.73,0.39,8.0,0.248,43.0,164.0,0.97963,4.17,0.575,9.0,0,8.0,2.0,0.5481214085096876,0.22154226994723591
3,9.4,1.1949999999999998,0.39,1.6,0.045,42.0,321.0,0.99534,4.17,0.575,6.9,0,9.5,2.0,0.7861820465271346,0.04401688541677432
5,4.2,0.69,0.58,8.7,0.188,104.0,161.0,0.9685275,3.06,0.41,13.1,1,9.0,2.0,0.5247285289349821,0.1722712209404532
5,14.149999999999999,0.37,0.9999999999999999,8.7,0.028,24.0,84.0,0.9909,2.75,0.18,11.7,1,7.0,2.0,0.31481073984003355,0.027615167032973367
0,7.9,0.04,0.39,8.7,0.248,66.0,195.0,0.99413,3.04,0.575,11.0,-1,9.0,2.0,0.039220713153281295,0.22154226994723591
4,11.8,0.36,0.26,6.8,0.248,36.0,120.0,0.9685275,3.2,0.32,5.6,0,6.0,2.0,0.3074846997479606,0.22154226994723591
7,7.4,0.19,0.39,12.8,0.053,48.5,150.0,0.99778,4.02,1.19,4.45,2,8.0,2.0,0.173953307123438,0.05164323315183845
5,7.2,0.43,0.9999999999999999,2.4,0.214,43.0,150.0,0.9994,3.24,1.19,11.2,1,9.5,2.0,0.35767444427181594,0.19392069263730652
0,6.5,0.29,0.39,8.7,0.142,113.5,150.0,0.9927,3.49,1.19,9.9,1,7.0,2.0,0.2546422183735807,0.13278111123381847
4,2.9,0.63,0.9999999999999999,8.7,0.248,24.0,150.0,0.9917,3.19,0.48,10.5,0,7.0,2.0,0.48858001481867097,0.22154226994723591
5,7.2,0.27,0.39,8.7,0.063,113.5,175.0,1.0197075,3.16,0.34,10.8,1,7.0,2.0,0.23901690047049992,0.061095099359810875
3,13.2,0.845,0.01,8.7,0.172,43.0,53.0,1.00888,3.32,0.5,11.0,1,9.0,2.0,0.6124792774924905,0.15871169115482087
4,7.2,0.18,0.31,30.2,0.216,20.0,210.0,0.9685275,3.84,0.575,10.8,-1,8.0,2.0,0.16551443847757338,0.19556678354397528
3,7.2,0.36,0.39,2.4,0.063,43.0,150.0,0.992,3.25,0.17,10.4,-1,6.0,2.0,0.3074846997479606,0.061095099359810875
0,12.4,0.38,0.9999999999999999,2.0,0.08,43.0,150.0,0.9961,2.25,0.86,10.4,1,8.0,2.0,0.32208349916911333,0.07696104113612832
4,7.2,0.43,0.35,21.3,0.248,113.5,150.0,0.9685275,3.37,0.5,14.7,1,7.0,2.0,0.35767444427181594,0.22154226994723591
3,3.7,0.24,0.31,13.1,0.05,26.0,180.0,0.9685275,3.05,0.53,10.4,-1,8.0,2.0,0.2151113796169455,0.04879016416943201
2,14.149999999999999,0.36,0.99,18.2,0.044,38.0,150.0,1.00467,3.84,0.6,6.9,-1,6.0,2.0,0.3074846997479606,0.04305948946044697
0,1.7500000000000009,1.1949999999999998,0.42,8.7,0.063,3.0,150.0,0.99506,2.83,1.19,12.3,2,9.0,2.0,0.7861820465271346,0.061095099359810875
3,8.4,0.785,0.77,8.7,0.063,23.0,321.0,0.98981,3.85,0.575,11.1,-1,5.5,2.0,0.5794184152316024,0.061095099359810875
3,7.2,0.64,0.3,2.25,0.063,8.0,150.0,0.9685275,2.72,0.62,9.9,-1,7.0,2.0,0.49469624183610705,0.061095099359810875
4,7.2,0.15,0.9999999999999999,30.2,0.038,43.0,110.0,1.00899,4.17,0.43,12.6,0,8.0,2.0,0.13976194237515868,0.037295784743696894
0,9.1,0.36,0.9999999999999999,2.0,0.124,113.5,25.0,0.99516,2.69,0.575,16.0,0,9.5,2.0,0.3074846997479606,0.11689375147149933
3,13.6,0.36,0.9999999999999999,8.7,0.039,46.0,11.0,0.9982,4.16,0.575,10.6,0,8.0,2.0,0.3074846997479606,0.03825871211709034
4,7.2,0.36,0.42,30.2,0.028,44.0,205.0,0.97409,4.17,1.19,11.3,-1,7.0,2.0,0.3074846997479606,0.027615167032973367
1,7.5,0.36,0.9999999999999999,3.85,0.248,43.0,150.0,0.9685275,2.25,1.19,11.8,-1,8.0,2.0,0.3074846997479606,0.22154226994723591
2,6.2,1.1949999999999998,0.9999999999999999,15.8,0.057,39.0,248.0,1.0197075,2.25,1.19,9.2,-1,7.0,2.0,0.7861820465271346,0.055434706888100586
4,7.2,0.27,0.9999999999999999,8.7,0.063,43.0,321.0,0.9685275,3.24,0.95,12.633333333,0,7.0,2.0,0.23901690047049992,0.061095099359810875
3,7.8,0.13,0.29,5.3,0.051,43.0,321.0,0.9685275,2.77,0.575,7.4,-1,7.0,2.0,0.12221763272424921,0.049742091894814065
5,7.2,0.72,0.51,6.3,0.063,43.0,103.0,0.9685275,3.71,1.03,11.4,0,8.0,2.0,0.5423242908253617,0.061095099359810875
3,4.0,1.04,0.19,30.2,0.05,113.5,174.0,1.01533,3.09,1.19,11.5,-1,8.0,2.0,0.712949807856125,0.04879016416943201
3,7.4,0.37,0.39,8.7,0.248,46.0,233.0,1.0197075,3.06,0.46,10.3,0,8.0,2.0,0.31481073984003355,0.22154226994723591
4,12.2,0.19,0.9999999999999999,11.2,0.061,43.0,150.0,0.97994,2.99,0.575,9.3,0,8.0,2.0,0.173953307123438,0.05921185963184608
0,7.6,1.1949999999999998,0.39,3.4,0.048,43.0,116.0,0.9944,4.17,0.41,9.4,0,8.0,2.0,0.7861820465271346,0.04688358589885042
0,1.9,0.47,0.39,8.7,0.174,24.0,37.0,0.99514,3.2,0.61,10.9,-1,8.0,2.0,0.3852624007906449,0.16041672140590468
0,7.2,0.22,0.9999999999999999,8.7,0.248,36.0,150.0,1.0197075,2.62,1.19,11.0,-1,6.0,2.0,0.19885085874516517,0.22154226994723591
0,8.4,0.39,0.1,1.7,0.075,43.0,25.0,0.99581,3.09,0.43,9.7,-1,9.0,2.0,0.3293037471426004,0.0723206615796261
4,7.2,0.22,0.9999999999999999,30.2,0.063,15.0,104.0,1.0197075,4.17,0.42,8.7,1,7.0,2.0,0.19885085874516517,0.061095099359810875
6,5.6,0.03,0.39,8.7,0.0,88.0,150.0,1.0197075,3.25,1.19,10.4,2,6.0,2.0,0.0295588022415444,0.0
5,14.149999999999999,0.32,0.33,0.7,0.027,113.5,66.0,1.0197075,3.11,1.19,11.8,1,7.0,2.0,0.2776317365982795,0.02664193094642118
5,7.1,0.21,0.32,2.2,0.098,28.0,141.0,0.993,4.17,0.575,10.0,0,8.0,2.0,0.19062035960864973,0.09349034308733889
2,13.8,0.23,0.42,8.7,0.063,43.0,150.0,0.99318,3.41,0.575,10.6,-1,8.0,2.0,0.20701416938432612,0.061095099359810875
5,8.8,0.36,0.9999999999999999,4.0,0.248,30.0,69.0,0.99787,3.47,0.575,10.4,1,9.5,2.0,0.3074846997479606,0.22154226994723591
4,5.8,0.36,0.1,30.2,0.044,43.0,63.0,1.0197075,3.01,0.575,6.4,1,7.0,2.0,0.3074846997479606,0.04305948946044697
4,7.2,0.16,0.39,27.6,0.056,33.0,321.0,0.99825,2.9,0.44,6.1,-1,8.0,2.0,0.14842000511827327,0.054488185284069734
1,7.3,0.38,0.39,6.5,0.248,113.5,102.0,0.99304,2.85,0.55,16.1,-1,8.0,2.0,0.32208349916911333,0.22154226994723591
2,5.8,0.18,0.21,6.6,0.063,50.0,321.0,0.9685275,3.29,0.62,10.0,-1,6.0,2.0,0.16551443847757338,0.061095099359810875
3,3.4,0.29,0.38,1.2,0.063,113.5,150.0,1.0197075,3.28,0.36,16.849999999999998,-1,6.0,2.0,0.2546422183735807,0.061095099359810875
4,7.2,0.38,0.26,8.7,0.035,113.5,150.0,0.97228,3.18,0.47,13.6,-1,7.0,2.0,0.32208349916911333,0.034401426717332394
2,9.0,0.36,0.39,30.2,0.248,58.0,321.0,0.99776,3.2,0.575,9.0,-1,8.0,2.0,0.3074846997479606,0.22154226994723591
2,14.149999999999999,1.1949999999999998,0.9999999999999999,30.2,0.031,33.0,321.0,0.99296,3.92,0.575,5.3,-2,7.0,2.0,0.7861820465271346,0.030529205034822874
4,2.1,1.1949999999999998,0.27,10.9,0.063,29.0,130.0,0.99496,2.51,0.77,4.45,-1,7.0,2.0,0.7861820465271346,0.061095099359810875
5,14.149999999999999,0.96,0.32,30.2,0.248,22.0,251.0,0.99072,3.0,0.37,11.1,0,7.0,2.0,0.6729444732424258,0.22154226994723591
5,7.2,0.2,0.9999999999999999,30.2,0.028,43.0,103.0,0.97085,2.25,0.575,9.2,1,8.0,2.0,0.18232155679395462,0.027615167032973367
6,14.149999999999999,1.1949999999999998,0.9999999999999999,8.7,0.063,17.0,158.0,1.00364,2.53,0.74,16.849999999999998,1,9.0,2.0,0.7861820465271346,0.061095099359810875
5,3.2,0.52,0.36,1.5,0.063,90.0,121.0,0.98976,4.17,1.19,16.849999999999998,0,6.0,2.0,0.41871033485818504,0.061095099359810875
4,3.1,0.25,0.28,7.7,0.248,113.5,132.0,1.0197075,2.25,0.575,9.4,0,7.0,2.0,0.22314355131420976,0.22154226994723591
0,11.2,1.19,0.39,2.2,0.219,43.0,28.0,0.99486,3.31,0.75,12.6,-1,9.5,2.0,0.7839015438284094,0.1980308504991345
2,6.6,0.36,0.53,8.7,0.063,22.0,150.0,1.00314,2.94,0.35,9.4,-1,7.0,2.0,0.3074846997479606,0.061095099359810875
4,7.2,0.24,0.9999999999999999,10.3,0.18,12.0,150.0,0.9685275,3.2,0.575,8.1,0,9.0,2.0,0.2151113796169455,0.16551443847757338
4,7.2,1.1949999999999998,0.9999999999999999,4.9,0.028,25.0,150.0,0.9922,3.68,0.49,16.8,-1,6.0,2.0,0.7861820465271346,0.027615167032973367
4,5.8,0.36,0.15,1.1,0.248,26.0,83.0,0.97401,2.77,0.4,11.4,0,6.0,2.0,0.3074846997479606,0.22154226994723591
0,10.0,0.93,0.39,1.9,0.08,43.0,150.0,1.0197075,3.13,0.55,9.5,1,9.5,2.0,0.6575200029167942,0.07696104113612832
4,14.149999999999999,0.38,0.9999999999999999,30.2,0.063,43.0,137.0,1.01893,4.02,1.19,12.1,0,8.0,2.0,0.32208349916911333,0.061095099359810875
4,1.7500000000000009,0.63,0.32,6.4,0.034,43.0,150.0,0.9924,3.23,0.575,11.8,0,8.0,2.0,0.48858001481867097,0.03343477608623739
2,6.6,0.13,0.9999999999999999,8.7,0.04,43.0,179.0,0.9955,4.17,0.41,9.0,-1,8.0,2.0,0.12221763272424921,0.039220713153281295
0,7.5,0.065,0.1,13.0,0.228,93.0,150.0,0.99741,3.1,0.5,4.45,1,8.0,2.0,0.06297479916138843,0.20538682972495073
5,2.9,0.36,0.27,1.6,0.063,113.5,98.0,0.99299,3.29,0.44,4.45,0,8.0,2.0,0.3074846997479606,0.061095099359810875
4,8.2,0.34,0.39,8.7,0.028,43.0,100.0,0.98958,3.2,1.19,13.2,-1,8.0,2.0,0.29266961396282004,0.027615167032973367
5,8.2,0.53,0.38,8.7,0.063,43.0,150.0,0.99062,2.88,0.6,16.849999999999998,1,9.0,2.0,0.4252677354043441,0.061095099359810875
3,8.3,1.1949999999999998,0.34,7.8,0.063,84.0,150.0,0.97462,3.21,0.575,16.849999999999998,-1,8.0,2.0,0.7861820465271346,0.061095099359810875
4,7.2,0.36,0.15,8.7,0.012,10.0,150.0,0.99609,2.95,0.575,13.7,0,8.0,2.0,0.3074846997479606,0.011928570865273802
5,9.3,0.19,0.29,8.7,0.042,44.0,189.0,0.99304,3.99,0.575,10.3,1,7.0,2.0,0.173953307123438,0.04114194333117518
3,1.7500000000000009,0.33,0.31,7.7,0.063,113.5,150.0,0.99226,3.11,0.24,8.8,0,8.0,2.0,0.28517894223366236,0.061095099359810875
5,10.7,0.63,0.9999999999999999,30.2,0.063,14.0,150.0,0.99522,2.3,0.575,15.5,1,8.0,2.0,0.48858001481867097,0.061095099359810875
4,6.2,1.1949999999999998,0.32,1.1,0.115,74.0,66.0,0.99096,2.25,0.575,8.9,0,7.0,2.0,0.7861820465271346,0.10885440491208208
3,13.8,0.36,0.36,8.7,0.248,113.5,150.0,0.9685275,3.25,0.63,7.0,-1,8.0,2.0,0.3074846997479606,0.22154226994723591
3,7.2,0.16,0.32,8.7,0.04,50.0,150.0,1.0197075,3.27,0.96,10.0,-1,8.0,2.0,0.14842000511827327,0.039220713153281295
3,7.2,0.36,0.42,2.3,0.063,43.0,150.0,0.9972,4.15,0.575,10.9,-1,8.0,2.0,0.3074846997479606,0.061095099359810875
3,7.7,0.36,0.35,15.3,0.248,74.0,148.0,0.99628,2.25,1.19,15.3,0,8.0,2.0,0.3074846997479606,0.22154226994723591
4,1.7500000000000009,0.36,0.04,30.2,0.248,23.0,150.0,0.99228,4.17,0.61,9.9,0,7.0,2.0,0.3074846997479606,0.22154226994723591
2,6.3,0.36,0.39,1.5,0.063,43.0,150.0,0.99238,4.05,0.575,14.5,-1,7.0,2.0,0.3074846997479606,0.061095099359810875
3,7.2,0.91,0.39,30.2,0.036,113.5,321.0,1.0197075,3.47,0.575,9.1,-1,7.0,2.0,0.6471032420585385,0.03536714383729131
5,13.8,0.36,0.49,30.2,0.248,113.5,161.0,0.9937,3.01,0.28,12.1,1,8.0,2.0,0.3074846997479606,0.22154226994723591
2,8.9,0.27,0.9999999999999999,10.7,0.063,19.5,166.0,0.99669,3.13,0.48,16.8,-1,9.5,2.0,0.23901690047049992,0.061095099359810875
4,14.149999999999999,0.36,0.26,11.0,0.03,2.0,82.0,0.99402,2.25,0.36,11.2,1,7.0,2.0,0.3074846997479606,0.0295588022415444
5,7.2,0.155,0.9999999999999999,8.7,0.025,113.5,321.0,0.9934,3.18,0.61,4.45,0,8.0,2.0,0.14410034397375684,0.024692612590371504
4,8.7,1.1949999999999998,0.39,30.2,0.09,4.0,11.0,0.99745,3.31,1.19,10.4,1,9.0,2.0,0.7861820465271346,0.08617769624105233
4,6.1,0.5,0.38,8.7,0.144,43.0,65.0,1.01902,4.17,0.64,11.4,0,7.0,2.0,0.4054651081081644,0.13453089295760615
7,14.149999999999999,0.21,0.39,8.7,0.034,113.5,118.0,0.9917,3.3,0.575,11.2,1,8.0,2.0,0.19062035960864973,0.03343477608623739
3,7.4,0.01,0.9999999999999999,8.4,0.063,52.0,321.0,1.0197075,3.09,0.575,8.8,0,8.0,2.0,0.009950330853168083,0.061095099359810875
0,14.149999999999999,0.55,0.39,8.7,0.149,15.0,150.0,0.9959,2.25,0.575,9.7,0,8.0,2.0,0.4382549309311553,0.13889199886661863
3,3.2,0.36,0.39,13.4,0.063,50.0,191.0,0.9989,3.22,0.53,9.0,1,8.0,2.0,0.3074846997479606,0.061095099359810875
0,8.6,1.1949999999999998,0.11,4.1,0.248,43.0,101.0,0.9685275,2.66,0.38,12.5,0,9.0,2.0,0.7861820465271346,0.22154226994723591
0,6.6,0.22,0.39,30.2,0.248,39.0,118.0,0.99834,3.05,1.19,9.1,0,7.0,2.0,0.19885085874516517,0.22154226994723591
0,6.6,0.36,0.25,8.7,0.045,45.0,178.0,1.0197075,4.17,0.43,15.0,0,7.0,2.0,0.3074846997479606,0.04401688541677432
5,1.7500000000000009,0.36,0.9999999999999999,8.7,0.063,113.5,87.0,0.9936,2.25,0.42,10.9,0,8.0,2.0,0.3074846997479606,0.061095099359810875
2,14.149999999999999,0.99,0.15,1.2,0.053,61.0,321.0,1.0197075,3.86,0.43,9.2,-1,8.0,2.0,0.688134638736401,0.05164323315183845
